symbol,address,signal_price,entry_price,exit_price,pnl_pct,peak_pct,reason,signal_type,pushed_at,buy_score
USDC-Chan,FgYdF7wZk5pUUsL9d5mTWdnQmK3T8YxvAfUqaKwtpump,1.45589824896452e-05,0,0,0.0,0.0,layer3_zero_detected,dump_pump,2026-05-22 03:50:43.425550+08:00,50
Blobby,7kqKEuS1kpRDYrj6VDiYzehLG3CMtfCpvPnHa5xcpump,1.58975007848779e-05,0,0,0.0,0.0,layer2_no_entry,unknown,2026-05-22 03:51:57.733787+08:00,95
CRCL,7U9xfXLtb4TPwTZ8QtoF7zCnuw8pJRwHbyhdJnuJpump,1.457131858356886e-05,8.742791150141315e-06,6.9942329201130525e-06,-0.19999999999999998,0.0,early_cut,dump_pump,2026-05-22 03:55:17.765203+08:00,75
Blobby,45saFqmXpAn1wqZEeHrtSrWrRqQGQNsUV9jeX4tspump,2.434684475736644e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 03:56:19.331561+08:00,75
Blobby,FYUPD3aHi7xmiVKx2TZnMoxmnP7cARqpqQ6EpPdTpump,0.00018559387632808926,0.00011135632579685355,0.00018880066739504999,0.6954642319959221,0.9946638023481437,trailing_stop,dump_pump,2026-05-22 04:00:41.865093+08:00,70
CRCL,3whh5NTnJRqttGwNgsLyUBY5stBpw6oEvcrwUpYwpump,1.440066840305592e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 04:02:33.969857+08:00,50
USDC-Chan,6SJdoNTumnL58h2a9TE3ZZXyuQMkbmvopw3xBMdFpump,1.5025688751263592e-05,0,0,0.0,0.0,layer3_zero_detected,dump_pump,2026-05-22 04:16:40.210134+08:00,50
WRLD,FbbDFT25MWsj9HP6pAuLbAsD6UyvwvZyPSL11tWQpump,3.240401444811918e-05,0,0,0.0,0.0,layer3_zero_detected,dump_pump,2026-05-22 04:20:21.742363+08:00,75
NATRO,9TmTw3B4WVzfZY15Cf28uK3vk32QUixCYcM9W1RrtdiF,0.00011889386548433321,0,0,0.0,0.0,layer2_no_entry,dump_pump,2026-05-22 04:29:55.344958+08:00,0
DLC,E78D1P5Q5BE5tiMnmwgkuwkaswpHsnP49NGxEuXfpump,1.1878965019067308e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 04:34:16.827641+08:00,50
SOL,EaCjK5XLQe8RfFCLBPzTQ8NJLhedxgGWAGvbUYcspump,1.5069444582536452e-05,0,0,0.0,0.0,layer3_zero_detected,dump_pump,2026-05-22 04:39:22.406081+08:00,75
Moon,HcF7bN8ESxEFCzH7HYmqN8tYiHJZB82Xe5MVDpDXpump,1.3102891896699893e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 04:56:41.173128+08:00,75
Rick67,59yHM7kDkyXiYQPuGmruzwL4LHdyqQczQDD8Hm3gpump,0.00010145124365046013,0,0,0.0,0.0,layer3_zero_detected,dump_pump,2026-05-22 05:06:47.734117+08:00,95
DANK,DQQEEbs6mVLVMfnMeiNr8KUdq9gYRXEvnjkqFr2ipump,1.706487767838164e-05,0,0,0.0,0.0,layer3_zero_detected,dump_pump,2026-05-22 05:08:10.668486+08:00,75
NALA,4SV6jEySP9MaV9xAm7kWDHv1uzzEo7iP8L1ia9uHpump,1.3022161669732125e-05,7.813297001839275e-06,1.1178594377962471e-05,0.4307141243102617,0.6831930874238373,trailing_stop,dump_pump,2026-05-22 05:09:42.691862+08:00,95
a1lon9,EuyvK98YoBidwDBCE5jn74ojTFW5TbRWP5C6nMiQpump,1.4981686485796685e-05,0,0,0.0,0.0,layer3_zero_detected,dump_pump,2026-05-22 05:14:50.863781+08:00,75
AL0N,3GNcRzF1j9GaLVmxT1N3QCVqg7MA33qjDTbHKaP9pump,2.1969058765262122e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 05:18:28.629586+08:00,75
NATHAN,2YoM4jznZEgmgDeGCkVRJ1T1NT9EQEozsu5AXL6dpump,3.4943900396189696e-05,0,0,0.0,0.0,layer3_zero_detected,dump_pump,2026-05-22 05:19:54.497156+08:00,75
ragebait,6pZugXSWXZRLqz79VAYyA7tjPqYQZXwTCGCKVq6Lpump,1.07368956095333e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 05:22:26.090943+08:00,75
USDC,Fm81PmvZEKXVuMhj39QA1SBkSV3aMyQYsqdZ9va6pump,3.199698204563112e-05,1.919818922737867e-05,1.535855138190294e-05,-0.1999999999999999,0.0,early_cut,unknown,2026-05-22 05:25:55.951892+08:00,55
USDC,5o1uGfcQVqtHAVMEhfVfWy7xBx8WJqPnEGNtH8Tvpump,4.961311409467009e-05,0,0,0.0,0.0,layer3_zero_detected,dump_pump,2026-05-22 05:27:02.025111+08:00,75
HITL,H2U6uaM8fSrMQVSBV29KijfEKbQ2tme3GZtEN1W3pump,5.482898235647499e-06,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 05:40:37.831226+08:00,50
Marscoin,4UHvmEua8QELywn4yhgmkTsA4e2cjZPfPVuuG9BBpump,2.657160688512632e-05,0,0,0.0,0.0,layer3_zero_detected,dump_pump,2026-05-22 05:51:31.615822+08:00,75
USDC,9Xnng5bEnMgkCFmHvSShtUN2fZ31dy5jQ1SG1L6wpump,1.2039993129136738e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 05:51:54.873363+08:00,75
Liquititty,9bR7XfEQj2zTmnGkMPP9U2X1J911UndcSoZPqAKYpump,9.178342324978459e-06,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 05:53:39.838968+08:00,75
MASK,FXeqJw3fmMgGP8vBL5MJyiZaTBD9LW8iYfsqZqUBpump,0.00010020327919398136,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 05:57:05.848733+08:00,75
Marscoin,6hvwRh96KPZM8j56DyCsvbn5AWv8BBdueUc85fM3Jg18,1.9645274525551596e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 06:02:34.026415+08:00,75
BLUECHIP,8iorVRvX27FzzGmQVkskqZv2VDbYJAjgsBLCCktwpump,1.69834561009749e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 06:04:10.012355+08:00,75
BITS,DcouJNFCx8DHFGzZ5wEExfEBQfQyMnSZQ6RfjNP2pump,1.7082569365256077e-05,0,0,0.0,0.0,layer3_zero_detected,dump_pump,2026-05-22 06:06:03.777713+08:00,50
MILHOUSE,4fKLGZe7G1E55pytM9VytuBNEUKB9ZyptXorgGAxpump,0.00025197400529913924,0.00015118440317948354,0.0001601949091868236,0.05959944159479823,0.0,end_of_data,unknown,2026-05-22 06:09:08.121349+08:00,75
liquititty,4v48rC4KFFYCeyZM3U4hRx6GQ8ZvPQC7TBzi3Gwtpump,1.5399182155094352e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 06:14:17.972796+08:00,50
Kyle,BxcxG1dqHWWcJCtFyMmLyFdL6K2ZfE3XiVnfXxfLpump,5.32735264261302e-06,3.196411585567812e-06,3.937856687519316e-06,0.2319617114702059,0.0,end_of_data,unknown,2026-05-22 06:17:12.070619+08:00,75
gitlawb,6hLhby1J1hov9Y4jLhjP4c9kYYm2vo69EzvbgnCYLdLE,1.1955710916913523e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 06:35:55.395840+08:00,75
SERAPHIM,A7C1vMsV1uYmSFT7efZHLKWHx6ugLecJ2bMxDJEXpump,2.1771259353460544e-05,0,0,0.0,0.0,layer3_zero_detected,dump_pump,2026-05-22 06:47:50.171349+08:00,20
SNAPGAME,ATjfnAWAsJt3DrLJyfdJtb5SwQx7HhvNzk1oQsKspump,1.0199517693421152e-05,0,0,0.0,0.0,layer3_zero_detected,dump_pump,2026-05-22 06:48:41.424748+08:00,75
MSIX,3UU1yApCsj4VnMoNpSCUsXSfhBw1VD1ovcZjBRVVpump,7.172148708047109e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 06:51:14.789806+08:00,75
TALLGUIN,8jTmcxK7HCyPoJrfHemHL4khaZTtVFcEztewb73mpump,7.271643953983258e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 06:52:09.602323+08:00,75
THICC,4Mx4Hb2rwDq7f4z5GcqgAK2MQPkcGPgpaNDk1LQVpump,2.676683069357242e-05,0,0,0.0,0.0,layer3_zero_detected,dump_pump,2026-05-22 06:59:42.850566+08:00,75
Codiak,AJEaDXzRFfzQvTwqGZoVfD4yzzHU1cVPn57CsuNfpump,8.349317352150993e-06,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 07:00:44.978914+08:00,75
UP,8qQ9wni2ES5QQopajm6PT1CVFYRCTfxVec6mkNxPpump,2.961895711911675e-06,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 07:01:59.728632+08:00,35
WERLDKUP,4yBfVtYnWnrJRQhzjS3ZWzMPntCu77dDv6GY3iW4pump,0.00012013428409267544,0,0,0.0,0.0,layer2_no_entry,dump_pump,2026-05-22 07:03:50.722772+08:00,62
SPCX,SPCXvE6fEwNETZn18c9XHFG6BCbYaZMWwAwH3XCvf4v,1.083571031453139e-05,6.5014261887188335e-06,1.0976578241674986e-05,0.6883339013709578,0.9862751780834799,trailing_stop,dump_pump,2026-05-22 07:05:10.195067+08:00,75
GME,GMEwRoYrQrYsVvgj44MEdEDnmFaBX1msxWex9eMCmsM,4.913056986596339e-06,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 07:05:17.640849+08:00,75
ASI,8uporM4okFYpmGi1JKqssbDfJ9ck3JFAja4zSy2Epump,1.267262552250163e-05,7.603575313500978e-06,6.082860250800783e-06,-0.19999999999999993,0.0,early_cut,dump_pump,2026-05-22 07:10:10.575523+08:00,75
Cg5f3fmx7X,Cg5f3fmx7XGZc3LQSrZMjbB2qnEFwauLddgxhePpexpo,1.4805595286889426e-05,8.883357172133655e-06,7.106685737706925e-06,-0.19999999999999996,0.0,early_cut,unknown,2026-05-22 07:28:15.042628+08:00,75
X,6iXo57TQC1cdEvpkAc1vwPPGGX7Ca2Q8eGJk7bxVpump,1.2717193592870274e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 07:41:43.579439+08:00,75
BLUECHIP,2UmH2nFYfpLA7fcFMrAY6NPGxDfbiQd4ZknbE3KGpump,1.6660430720127136e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 07:47:15.540809+08:00,75
NATIONS,6kJAzwNmj4ZabBZAoJ63dSFXyPUcRkcyvnKXQYUSpump,4.72069320678754e-06,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 07:57:28.871161+08:00,75
HOOTERS,Cu56RNZcKeCp3JBL8REghfRhGrvDEQaFztyT91Wbpump,7.5602698619763835e-06,4.53616191718583e-06,3.6289295337486644e-06,-0.19999999999999996,0.0,early_cut,dump_pump,2026-05-22 07:59:05.653514+08:00,75
CHUSD,4UQae9V5U56cUkuu342xKavZXk1oUaecs56ANg6ipump,1.196580293711882e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 08:02:33.500778+08:00,75
ARMA,4rfkdoA1vZwiQGR2BSeo9zxsgkfT6cAXWk7BWJyUpump,1.1681475069073441e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 08:06:25.454415+08:00,75
XHERMES,EK95j96TMbHGkkVNfdJgzoqkPSZ6CqmGkg34PR9fpump,2.5917590392315636e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 08:09:39.407213+08:00,75
crine,EbLTXB3FicCNZCtdr9GuFXrV8RBCy6XiHCP5T28Xpump,9.235579986495691e-06,0,0,0.0,0.0,layer2_no_entry,dump_pump,2026-05-22 08:21:01.271991+08:00,55
ZePIN,61uaHBdWUnnYB6aseptCRthwFmeXmTkE3GSZ9smzcash,0.0001806531731715443,0.00010839190390292657,8.671352312234127e-05,-0.1999999999999999,0.0,early_cut,dump_pump,2026-05-22 08:27:08.161718+08:00,47
UFU,Ehvs6t8SAFh13TGFo646KGxjZN6KsXMtGvJUv5yqpump,0.0001137919429722567,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 08:27:36.283726+08:00,50
IMS,4bq99hj5mqpYfyo9srr632aupefoRzzauheLDntoENmu,2.7385331262195754e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 08:40:12.155934+08:00,75
Turkcoin,7Vtj5j1MH9TS48uyu94Jr22eSiEUdChA2Q6XUsrbpump,9.035766319440449e-06,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 08:42:37.852476+08:00,75
Playground,HkNDfg2qwUxXWKCPZLWt9RyT9bkGhyJCFwpK23tdpump,1.74804938151709e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 09:12:54.964577+08:00,75
mcap,3QTz1tPvUxSSM6CgDEJ7XPtiHSrELyJq3ugFtwPapump,1.2545886551350316e-05,0,0,0.0,0.0,layer3_zero_detected,dump_pump,2026-05-22 09:15:09.277617+08:00,75
Hunter,46ZgvYYM2b8t8bFJXntu7JAZG5sJ8uxUTcSCUT19pump,7.983333525161903e-06,4.7900001150971415e-06,3.832000092077713e-06,-0.19999999999999996,0.0,early_cut,dump_pump,2026-05-22 09:22:47.120756+08:00,75
Laptop,2kW5gdjqE9nwpRBTCboH9YEcp1Fxa3SCHhgAyXGFpump,2.1661199257034813e-05,0,0,0.0,0.0,layer3_zero_detected,dump_pump,2026-05-22 09:42:16.064136+08:00,50
ReelRush,EvKFvTQcSESeUPRpcBf8WKAYC4a1Er3jAQRYmTCi46x3,0.00028143762305119055,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 09:49:23.806803+08:00,55
CWAUDE,AhPfqpdawPvPfumnoPWntwCqkZfkWem2Pw3kxdMYpump,6.24958078132512e-06,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 09:56:57.865489+08:00,75
vgc,7UMahJsZ64efhzh7NcvscvXATbwnviiq2knJhxS9pump,2.444038217253491e-06,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 10:02:19.534016+08:00,0
yunc,CNraxbUfLJLbTPV7RuwZanygNN49vz1P3reNqyx9pump,0.00013452478490499963,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 10:08:47.811334+08:00,95
Pizza,2ULSX9jfEKDyRwERj9zXftqBWC3Tmm5otooz19sjpump,6.0510797509081235e-06,0,0,0.0,0.0,layer2_no_entry,dump_pump,2026-05-22 10:24:37.114102+08:00,75
HONKE,9U9D3AQBwmRUnW8UoWBGZ9rMyqUvqA9cTMfgwxP8pump,1.4506938680825885e-05,8.704163208495531e-06,6.963330566796425e-06,-0.19999999999999996,0.0,early_cut,unknown,2026-05-22 10:28:46.448548+08:00,55
2aoSaGnavF,2aoSaGnavFkcMBGwWqFdfzoLfYtX2tKZpuZ6pzykpump,1.2887403731401884e-05,7.73244223884113e-06,5.799331679130848e-06,-0.24999999999999994,0.0,hard_stop,dump_pump,2026-05-22 10:36:40.170829+08:00,75
FlappyApe,RRJrichQVnt4drrhVXtSJZkXUze6vuM1JAykp2epump,3.459545950582867e-05,0,0,0.0,0.0,layer3_zero_detected,dump_pump,2026-05-22 10:41:55.823733+08:00,75
APE,8AKjLE9sfhhLNUcShgThBUK2nZ4rJbhufNBKC915pump,8.729213027703405e-06,0,0,0.0,0.0,layer2_no_entry,dump_pump,2026-05-22 10:49:58.293959+08:00,75
dollarcoin,G6F3MD6JLUhipCgDSuzDv9cBPxXczqq8XeNGCeTCpump,1.075345813314415e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 10:54:28.663210+08:00,50
titan,7CoeBoJuL4eoaMTX2n2UTFEMJDYYiaoNnVVrGDBXpump,5.621152052353101e-06,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 11:03:19.321965+08:00,50
POMPOMPURIN,3r1SrvNjYSiVvbSHnbHJZv1qWi2JvPeXzioEQV5vpump,1.3711303092069654e-05,0,0,0.0,0.0,layer3_zero_detected,dump_pump,2026-05-22 11:21:05.687123+08:00,75
Stable,8kQcHydWUxj5XAiyBytjPXEo73zr6ejNQKFsn9Jipump,1.9764800381818316e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 11:33:27.379761+08:00,75
DAWG,9RCxY2FqrCx8NygydaLznNFeCgbmvQa3syhoCsoMpump,1.3260638818362546e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 12:03:58.862674+08:00,75
SQUIDWARD,EGuzeLqKoQAbdwMpG31neYNtFQ8KH8midraQrJQZpump,2.4194136815514676e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 12:18:48.380209+08:00,75
PLUSHIES,J8V4s1DTguJKkUna27cya8ucrAqrXMkP138cCxRdpump,2.1185890326189114e-05,1.2711534195713468e-05,9.5336506467851e-06,-0.25000000000000006,0.0,hard_stop,dump_pump,2026-05-22 12:21:42.814565+08:00,95
PLANTATION,BsLV4Zg6f4X41zuykSBDnd1V4zpXb189CtyHj5Uzpump,1.3857761224114917e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 12:32:57.613713+08:00,75
CHUSD,BiFhE7WZY56uZNyLgw5VDVBf1HsjUfrmLLUhyuj8pump,2.185396809806642e-05,1.3112380858839852e-05,1.0489904687071882e-05,-0.19999999999999998,0.0,early_cut,unknown,2026-05-22 12:38:34.156415+08:00,50
